motion_name,SG ASL Direction Alt 2026-7-27 metarig T
pose_name,SG ASL Direction Alt 2026-7-27 metarig T P5
export_date,2026-7-27
current_frame,136
frame_budget,22

bone_name,w,x,y,z
spine,0.9914,-0.1308,0.0081,0.0004
spine.001,0.9974,0.0719,0.002,-0.0035
spine.002,0.9966,0.0808,0.0184,-0.0001
spine.003,0.9995,-0.0205,-0.0198,-0.0092
spine.004,0.9805,-0.1967,0.0005,-0.0012
spine.005,0.9964,0.0832,-0.0132,0.0022
spine.006,0.9973,0.0692,-0.0225,0.0094
face,1.0,-0.0,-0.0,-0.0
nose,1.0,0.0,-0.0,0.0
nose.001,1.0,-0.0,-0.0,-0.0
nose.002,1.0,-0.0,-0.0,0.0
nose.003,1.0,-0.0,-0.0,-0.0
nose.004,1.0,-0.0,0.0,0.0
lip.T.L,1.0,-0.0,0.0,0.0
lip.T.L.001,1.0,0.0,-0.0,0.0
lip.B.L,1.0,-0.0,0.0,0.0
lip.B.L.001,1.0,-0.0,-0.0,-0.0
jaw,1.0,-0.0,-0.0,-0.0
chin,1.0,-0.0,-0.0,-0.0
chin.001,1.0,-0.0,0.0,0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,-0.0,0.0,-0.0
ear.L.002,1.0,-0.0,0.0,0.0
ear.L.003,1.0,0.0,0.0,-0.0
ear.L.004,1.0,0.0,-0.0,-0.0
ear.R,1.0,-0.0,-0.0,-0.0
ear.R.001,1.0,0.0,0.0,0.0
ear.R.002,1.0,0.0,0.0,0.0
ear.R.003,1.0,0.0,-0.0,0.0
ear.R.004,1.0,-0.0,-0.0,0.0
lip.T.R,1.0,-0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,-0.0,-0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,0.0,-0.0,0.0
brow.B.L,1.0,-0.0,0.0,0.0
brow.B.L.001,1.0,0.0,0.0,0.0
brow.B.L.002,1.0,0.0,-0.0,-0.0
brow.B.L.003,1.0,-0.0,0.0,-0.0
lid.T.L,1.0,-0.0,0.0,-0.0
lid.T.L.001,1.0,0.0,0.0,-0.0
lid.T.L.002,1.0,-0.0,0.0,-0.0
lid.T.L.003,1.0,0.0,0.0,0.0
lid.B.L,1.0,0.0,0.0,-0.0
