motion_name,SG ASL Director 2026-7-28
pose_name,SG ASL Director 2026-7-28 P2
export_date,2026-7-28
current_frame,34
frame_budget,11

bone_name,w,x,y,z
bicepfk_L,0.763,0.5783,0.1685,0.2343
forearmfk_L,0.6758,-0.0447,-0.0453,0.7344
handfk_L,0.9766,-0.1349,0.1097,0.1263
bicepfk_R,0.8236,0.4943,-0.0292,-0.2767
forearmfk_R,0.7761,-0.0373,0.0481,-0.6276
handfk_R,0.9402,-0.3344,0.0368,-0.0537
thighfk_L,0.9991,-0.0136,-0.0413,0.0008
shinfk_L,0.9996,0.0269,0.0091,0.0042
footfk_L,0.0289,-0.0269,0.9991,0.0166
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9999,-0.0101,0.0072,0.0004
shinfk_R,0.9996,0.0271,-0.0093,-0.0042
footfk_R,0.0293,-0.0252,-0.999,-0.0205
toefk_R,1.0,-0.0002,-0.001,-0.0
thumbfk_01_L,0.7656,0.4182,0.4335,0.2257
thumbfk_02_L,0.9887,0.1102,-0.0312,-0.0971
thumbfk_03_L,0.9798,0.1656,-0.0164,-0.1112
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0254
pinkyfk_01_L,0.7447,0.6537,-0.1164,0.067
pinkyfk_02_L,0.7686,0.6391,0.0022,-0.0285
pinkyfk_03_L,0.6539,0.7475,-0.0714,0.0926
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0016,-0.0016
indexfk_01_L,0.9998,0.0163,-0.0049,-0.0073
indexfk_02_L,0.8138,0.5812,0.0004,-0.0002
indexfk_03_L,0.816,0.578,0.0005,0.0001
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,-0.0,0.0075,-0.0075
middlefk_01_L,0.7331,0.6769,-0.0615,-0.0246
middlefk_02_L,0.7503,0.6608,-0.0178,0.0087
middlefk_03_L,0.7465,0.6638,-0.029,-0.0357
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9997,0.0,-0.0216,0.0144
ringfk_01_L,0.7518,0.6558,-0.0692,-0.002
ringfk_02_L,0.713,0.701,-0.0002,-0.0127
ringfk_03_L,0.7799,0.6207,-0.034,0.0723
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7659,0.4181,-0.4335,-0.225
thumbfk_02_R,0.9887,0.1102,0.0312,0.0971
thumbfk_03_R,0.9798,0.1656,0.0164,0.1112
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0254
pinkyfk_01_R,0.7453,0.6533,0.1155,-0.0663
pinkyfk_02_R,0.7686,0.6391,-0.0022,0.0285
pinkyfk_03_R,0.6539,0.7475,0.0714,-0.0926
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0016,0.0016
indexfk_01_R,0.9998,0.0156,0.0049,0.0073
indexfk_02_R,0.8138,0.5812,-0.0004,0.0002
indexfk_03_R,0.816,0.578,-0.0005,-0.0001
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0075,0.0075
middlefk_01_R,0.7337,0.6764,0.0606,0.0245
middlefk_02_R,0.7503,0.6608,0.0178,-0.0087
middlefk_03_R,0.7465,0.6638,0.029,0.0357
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9997,0.0,0.0216,-0.0144
ringfk_01_R,0.7523,0.6553,0.0682,0.0021
ringfk_02_R,0.713,0.701,0.0002,0.0127
ringfk_03_R,0.7799,0.6207,0.034,-0.0723
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9968,0.08,-0.0016,-0.0032
collar_L,0.9956,0.0858,0.0147,0.0335
neckfk,1.0,-0.0009,-0.0087,0.0025
headfk,0.9999,-0.0014,-0.0148,0.0081
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0189,-0.0032,-0.0073
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,0.0013,0.0003,0.0004
hip,0.9999,-0.0006,-0.017,-0.0008
