motion_name,SG ASL Dirt 2026-7-29
pose_name,SG ASL Dirt 2026-7-29 P3
export_date,2026-7-29
current_frame,44
frame_budget,13

bone_name,w,x,y,z
bicepfk_L,0.772,0.5609,0.219,0.2038
forearmfk_L,0.7174,-0.043,-0.0458,0.6939
handfk_L,0.8163,-0.1802,-0.5451,0.0641
bicepfk_R,0.8189,0.5209,-0.2078,-0.122
forearmfk_R,0.6918,-0.0457,0.0435,-0.7193
handfk_R,0.8209,-0.1697,0.5365,-0.0969
thighfk_L,0.9997,-0.0107,-0.0211,0.0001
shinfk_L,0.9996,0.027,0.0091,0.0042
footfk_L,0.029,-0.0263,0.9991,0.019
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0114,0.0275,-0.0003
shinfk_R,0.9996,0.027,-0.0091,-0.0042
footfk_R,0.029,-0.0263,-0.9991,-0.0182
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.6576,0.3881,0.5546,0.3308
thumbfk_02_L,0.9794,0.1647,-0.0919,0.0716
thumbfk_03_L,0.9964,0.0353,0.0478,-0.06
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9997,0.0,0.0,-0.0238
pinkyfk_01_L,0.7766,0.6282,-0.0172,0.0444
pinkyfk_02_L,0.897,0.4418,0.0151,-0.0021
pinkyfk_03_L,0.9507,0.31,0.0,-0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.9974,-0.0,0.0512,-0.0512
indexfk_01_L,0.8714,0.4892,0.0371,-0.0022
indexfk_02_L,0.9229,0.3838,-0.0321,-0.0018
indexfk_03_L,0.965,0.2619,-0.0053,-0.0154
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0053,-0.0053
middlefk_01_L,0.8565,0.5078,-0.0009,-0.0924
middlefk_02_L,0.8642,0.4963,-0.0802,-0.018
middlefk_03_L,0.9431,0.3321,-0.0029,-0.017
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9998,0.0,-0.0179,0.012
ringfk_01_L,0.8264,0.5629,0.0116,-0.0067
ringfk_02_L,0.9086,0.398,-0.1234,-0.0304
ringfk_03_L,0.9313,0.364,0.013,-0.0028
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6575,0.3881,-0.5545,-0.3309
thumbfk_02_R,0.9794,0.1648,0.0919,-0.0716
thumbfk_03_R,0.9964,0.0353,-0.0478,0.06
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9997,0.0,0.0,-0.0238
pinkyfk_01_R,0.7766,0.6282,0.0172,-0.0444
pinkyfk_02_R,0.8918,0.452,-0.0189,0.0022
pinkyfk_03_R,0.9461,0.324,-0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9974,0.0,-0.0513,0.0513
indexfk_01_R,0.8711,0.4898,-0.036,0.002
indexfk_02_R,0.9229,0.3838,0.0321,0.0018
indexfk_03_R,0.965,0.2619,0.0053,0.0154
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0054,0.0054
middlefk_01_R,0.8548,0.5152,-0.0606,0.0135
middlefk_02_R,0.864,0.4967,0.0801,0.0179
middlefk_03_R,0.9431,0.3321,0.0029,0.017
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,0.0,0.018,-0.012
ringfk_01_R,0.8258,0.5639,-0.0115,0.0065
ringfk_02_R,0.9083,0.3985,0.1236,0.0305
ringfk_03_R,0.9313,0.3639,-0.013,0.0028
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.997,0.0778,-0.0046,0.003
collar_L,0.9966,0.0771,0.0233,0.0146
neckfk,1.0,-0.0043,-0.0029,0.0015
headfk,1.0,-0.0078,-0.0046,0.0038
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0004,-0.0005,0.0001
chest_3,0.9998,-0.0186,-0.004,-0.0073
chest_2,1.0,0.0007,-0.0007,0.0003
chest_1,1.0,0.0017,-0.0025,0.0009
hip,1.0,0.0003,0.0032,0.0002
