motion_name,SG ASL Dirt Alt 2026-7-28
pose_name,SG ASL Dirt Alt 2026-7-28 P1
export_date,2026-7-28
current_frame,30
frame_budget,30

bone_name,w,x,y,z
bicepfk_L,0.7276,0.5848,0.32,0.1619
forearmfk_L,0.8669,-0.0306,-0.0545,0.4946
handfk_L,0.9068,0.2521,0.3264,-0.0874
bicepfk_R,0.6893,0.561,0.0944,-0.4485
forearmfk_R,0.456,-0.0581,0.0335,-0.8874
handfk_R,0.8472,0.4871,-0.142,0.1571
thighfk_L,0.9996,-0.0113,-0.024,0.0
shinfk_L,0.9996,0.027,0.0105,0.0039
footfk_L,0.0293,-0.0258,0.9991,0.0187
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0114,0.0245,-0.0003
shinfk_R,0.9996,0.027,-0.0074,-0.0044
footfk_R,0.0285,-0.027,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0
pinkyfk_01_L,1.0,0.0003,0.0001,0.0002
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,0.0,0.0,0.0
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,-0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,0.0,0.0,0.0
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9546,0.2475,-0.1569,0.0532
thumbfk_02_R,0.9776,0.0531,-0.1812,0.0934
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,-0.0068
pinkyfk_01_R,0.9811,0.1937,-0.0002,-0.0001
pinkyfk_02_R,1.0,0.0,0.0,0.0
pinkyfk_03_R,1.0,0.0,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0,0.0
indexfk_01_R,1.0,0.0,0.0,0.0
indexfk_02_R,1.0,0.0,0.0,0.0
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0019,0.0019
middlefk_01_R,0.9811,0.1937,-0.0002,-0.0001
middlefk_02_R,1.0,0.0,0.0,0.0
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0058,-0.0039
ringfk_01_R,0.9811,0.1937,-0.0002,-0.0001
ringfk_02_R,1.0,0.0,0.0,0.0
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9936,0.0108,0.1125,0.0056
collar_L,0.9986,0.0478,0.0101,0.0202
neckfk,1.0,-0.0031,-0.0031,0.0015
headfk,1.0,-0.0058,-0.0051,0.004
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0001,0.0,-0.0003
chest_3,0.9998,-0.0191,-0.0031,-0.008
chest_2,1.0,0.0001,0.0,-0.0005
chest_1,1.0,0.0004,0.0001,-0.0014
hip,1.0,0.0,0.0,0.0
