motion_name,SG ASL Disadvantage Alt 2026-7-30
pose_name,SG ASL Disadvantage Alt 2026-7-30 P1
export_date,2026-7-30
current_frame,33
frame_budget,33

bone_name,w,x,y,z
bicepfk_L,0.8429,0.5004,0.1288,0.1499
forearmfk_L,0.7479,-0.0429,-0.0491,0.6606
handfk_L,0.9622,-0.1912,0.1368,0.1375
bicepfk_R,0.7889,0.5529,-0.179,-0.1997
forearmfk_R,0.7014,-0.036,0.0523,-0.7099
handfk_R,0.7749,-0.3382,-0.451,0.2859
thighfk_L,0.9997,-0.0114,-0.0235,0.0002
shinfk_L,0.9996,0.027,0.0088,0.0042
footfk_L,0.0292,-0.0257,0.9991,0.0188
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0116,0.025,-0.0002
shinfk_R,0.9996,0.027,-0.0087,-0.0042
footfk_R,0.0287,-0.0268,-0.9991,-0.0186
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,0.9973,0.0153,-0.009,-0.0707
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,0.9999,-0.0001,0.0096,0.0027
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,-0.0001
indexfk_01_L,0.9999,0.0008,0.0116,0.0105
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,0.9999,-0.0002,0.0096,0.0027
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,0.9999,-0.0001,0.0096,0.0027
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.7704,0.3284,-0.4073,-0.3643
thumbfk_02_R,0.9867,0.1588,-0.0067,-0.0332
thumbfk_03_R,0.9181,0.3564,0.1128,0.1315
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0199
pinkyfk_01_R,0.8391,0.5316,0.0797,-0.083
pinkyfk_02_R,0.9434,0.3312,-0.005,0.0177
pinkyfk_03_R,0.9779,0.1993,0.0359,-0.0526
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,0.9993,-0.028,-0.0043,-0.0264
indexfk_02_R,0.9998,0.015,-0.0106,0.0019
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,0.9983,0.0589,0.0,-0.0
middleinte_metacarpal_R,1.0,-0.0,-0.0056,0.0056
middlefk_01_R,0.8459,0.5308,0.0066,-0.052
middlefk_02_R,0.9504,0.3102,-0.0083,-0.0181
middlefk_03_R,0.9553,0.2953,-0.0101,-0.005
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9998,-0.0,0.0158,-0.0105
ringfk_01_R,0.8634,0.501,0.0561,0.0195
ringfk_02_R,0.9432,0.3315,-0.0142,-0.0186
ringfk_03_R,0.949,0.3106,0.0173,-0.0509
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9975,0.0709,0.0061,0.0007
collar_L,0.9958,0.0891,0.0165,0.011
neckfk,1.0,0.0001,-0.0004,-0.0002
headfk,1.0,-0.0002,-0.0009,-0.0002
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0,0.0,0.0
chest_3,0.9998,-0.0193,-0.0035,-0.0075
chest_2,1.0,0.0,0.0,0.0
chest_1,1.0,-0.0001,-0.001,-0.0003
hip,1.0,-0.0002,0.0007,0.0
