motion_name,SG ASL Disappear 2026-8-2
pose_name,SG ASL Disappear 2026-8-2 P1
export_date,2026-8-2
current_frame,41
frame_budget,41

bone_name,w,x,y,z
bicepfk_L,0.8204,0.262,0.0984,0.4985
forearmfk_L,0.6358,-0.0463,-0.0388,0.7695
handfk_L,0.962,0.2528,0.0965,0.0358
bicepfk_R,0.8439,0.5045,-0.1078,-0.1475
forearmfk_R,0.5531,-0.0519,0.0365,-0.8307
handfk_R,0.6383,0.1789,0.6632,-0.3475
thighfk_L,0.9995,-0.0159,-0.0258,-0.0002
shinfk_L,0.9996,0.0271,0.0091,0.0042
footfk_L,0.029,-0.0263,0.9991,0.019
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9996,-0.0155,0.0226,-0.0003
shinfk_R,0.9996,0.0271,-0.009,-0.0043
footfk_R,0.0289,-0.0263,-0.9991,-0.0191
toefk_R,1.0,0.0,0.0,0.0
thumbfk_01_L,1.0,0.0,0.0,0.0
thumbfk_02_L,0.9872,0.1168,-0.108,-0.0142
thumbfk_03_L,0.9998,-0.0137,0.0124,-0.0084
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,-0.0002
pinkyfk_01_L,0.9981,0.0074,-0.0538,-0.0291
pinkyfk_02_L,0.9999,0.0129,0.0,-0.0001
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0014,-0.0014
indexfk_01_L,0.995,0.0179,0.0455,0.0873
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,0.0,0.0,0.0
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,-0.0009,0.0006
ringfk_01_L,0.9974,0.0321,-0.0632,-0.0146
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.6915,0.4128,-0.497,-0.323
thumbfk_02_R,0.984,0.1536,0.0279,0.0863
thumbfk_03_R,0.9538,0.2891,0.0816,0.0067
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9998,0.0,0.0,-0.0214
pinkyfk_01_R,0.8159,0.5672,0.1083,0.0316
pinkyfk_02_R,0.672,0.7405,-0.0002,0.0114
pinkyfk_03_R,0.7789,0.627,0.005,-0.0065
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,0.0,0.0
indexfk_01_R,1.0,-0.001,-0.0006,-0.0001
indexfk_02_R,0.9997,0.0041,0.0191,-0.0112
indexfk_03_R,0.9997,0.004,0.0053,-0.0215
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,-0.0,-0.0071,0.0071
middlefk_01_R,0.7548,0.6517,0.0729,0.0144
middlefk_02_R,0.7486,0.663,0.0013,-0.0006
middlefk_03_R,0.7383,0.6745,0.002,0.0026
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,-0.0,0.0223,-0.0149
ringfk_01_R,0.7347,0.6675,0.113,0.0441
ringfk_02_R,0.7051,0.7091,-0.0,0.0008
ringfk_03_R,0.7964,0.6047,0.0024,-0.005
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9949,0.0899,0.0424,-0.0175
collar_L,0.9959,0.0767,-0.0228,0.0425
neckfk,1.0,-0.0012,-0.0032,0.0017
headfk,1.0,-0.0023,-0.005,0.0043
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0006,0.0002,-0.0005
chest_3,0.9998,-0.0185,-0.0029,-0.0081
chest_2,1.0,0.0009,0.0003,-0.0006
chest_1,1.0,0.0018,0.0004,-0.0015
hip,1.0,-0.0048,-0.0016,0.0002
