motion_name,SG ASL Disappoint Alt 2026-8-2
pose_name,SG ASL Disappoint Alt 2026-8-2 P3
export_date,2026-8-2
current_frame,70
frame_budget,19

bone_name,w,x,y,z
bicepfk_L,0.7153,0.5953,0.333,0.1517
forearmfk_L,0.864,-0.029,-0.0556,0.4995
handfk_L,0.9063,0.243,0.3324,-0.0953
bicepfk_R,0.7476,0.5593,-0.3525,0.0635
forearmfk_R,0.4964,-0.0546,0.0333,-0.8657
handfk_R,0.916,0.3791,0.1127,-0.0676
thighfk_L,0.9997,-0.0118,-0.0193,0.0012
shinfk_L,0.9996,0.0271,0.008,0.0041
footfk_L,0.0287,-0.0266,0.9991,0.0186
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9995,-0.0128,0.0292,0.0009
shinfk_R,0.9996,0.0271,-0.0092,-0.0042
footfk_R,0.029,-0.0264,-0.9991,-0.019
toefk_R,1.0,-0.0022,-0.0058,-0.0002
thumbfk_01_L,1.0,-0.0007,0.0,0.0012
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,1.0,0.0,0.0,0.0
pinkyfk_01_L,1.0,-0.0007,0.0,0.0012
pinkyfk_02_L,1.0,0.0,0.0,0.0
pinkyfk_03_L,1.0,0.0,0.0,0.0
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,1.0,0.0,0.0,0.0
indexfk_01_L,1.0,-0.0007,0.0001,0.0013
indexfk_02_L,1.0,0.0,0.0,0.0
indexfk_03_L,1.0,0.0,0.0,0.0
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,1.0,0.0,0.0,0.0
middlefk_01_L,1.0,-0.0007,0.0001,0.0013
middlefk_02_L,1.0,0.0,0.0,0.0
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,1.0,0.0,0.0,0.0
ringfk_01_L,1.0,-0.0007,0.0001,0.0013
ringfk_02_L,1.0,0.0,0.0,0.0
ringfk_03_L,1.0,0.0,0.0,0.0
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.9953,-0.0878,0.0393,0.0074
thumbfk_02_R,0.9971,-0.071,0.0104,-0.0246
thumbfk_03_R,0.9971,-0.0694,0.01,-0.029
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,1.0,0.0,0.0,0.0001
pinkyfk_01_R,0.9991,-0.004,-0.0038,-0.0413
pinkyfk_02_R,1.0,0.0,0.0,0.0
pinkyfk_03_R,1.0,0.0,0.0,0.0
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,1.0,0.0,-0.0003,0.0003
indexfk_01_R,0.9999,0.0033,-0.0009,0.0135
indexfk_02_R,1.0,0.0,0.0,0.0
indexfk_03_R,1.0,0.0,0.0,0.0
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,1.0,0.0,-0.0,0.0
middlefk_01_R,1.0,0.0019,-0.0018,0.0012
middlefk_02_R,1.0,0.0,0.0,0.0
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,1.0,0.0,0.0,0.0
ringfk_01_R,0.9992,-0.0033,-0.0043,-0.0404
ringfk_02_R,1.0,0.0,0.0,0.0
ringfk_03_R,1.0,0.0,0.0,0.0
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9951,0.0415,0.0831,-0.0351
collar_L,0.9984,0.0378,-0.0034,0.0408
neckfk,0.9985,0.0126,-0.0524,0.0059
headfk,0.9949,0.0239,-0.0925,0.0315
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.0014,0.0016,-0.0018
chest_3,0.9998,-0.0174,-0.0008,-0.0098
chest_2,1.0,0.002,0.0017,-0.0026
chest_1,1.0,0.0049,0.0041,-0.0057
hip,1.0,-0.0011,0.0049,-0.0011
