motion_name,SG ASL Disavow Other 2026-8-4
pose_name,SG ASL Disavow Other 2026-8-4 P2
export_date,2026-8-4
current_frame,49
frame_budget,9

bone_name,w,x,y,z
bicepfk_L,0.8129,0.4914,-0.1274,0.2854
forearmfk_L,0.3794,-0.0636,-0.0146,0.9229
handfk_L,0.9917,-0.0941,0.0699,-0.0522
bicepfk_R,0.8873,0.444,0.1208,-0.0323
forearmfk_R,0.3571,-0.0618,0.0243,-0.9317
handfk_R,0.9947,-0.0868,0.0476,0.0277
thighfk_L,0.9993,-0.0147,-0.0336,0.0004
shinfk_L,0.9996,0.0271,0.0088,0.0042
footfk_L,0.029,-0.0264,0.9991,0.0179
toefk_L,1.0,0.0,0.0,0.0
thighfk_R,0.9998,-0.0128,0.0149,0.0001
shinfk_R,0.9996,0.0271,-0.0089,-0.0042
footfk_R,0.0288,-0.0265,-0.999,-0.0198
toefk_R,1.0,-0.0005,-0.0002,-0.0
thumbfk_01_L,0.8262,0.1267,0.5483,0.0244
thumbfk_02_L,1.0,0.0,0.0,0.0
thumbfk_03_L,1.0,0.0,0.0,0.0
thumbfk_04_L,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_L,0.9996,0.0,0.0,-0.0289
pinkyfk_01_L,0.6777,0.7331,-0.0574,0.0081
pinkyfk_02_L,0.6772,0.7358,0.0002,-0.0003
pinkyfk_03_L,0.787,0.6128,0.0551,0.045
pinkyfk_04_L,1.0,0.0,0.0,0.0
indexinte_metacarpal_L,0.993,0.0,0.0838,-0.0838
indexfk_01_L,0.6692,0.743,0.0002,-0.0003
indexfk_02_L,0.7073,0.7068,-0.0,-0.0123
indexfk_03_L,0.805,0.5915,0.0251,0.037
indexfk_04_L,1.0,0.0,0.0,0.0
middleinte_metacarpal_L,0.9999,0.0,0.0084,-0.0084
middlefk_01_L,0.6668,0.7452,-0.0008,-0.0014
middlefk_02_L,0.7459,0.6658,-0.0183,0.0082
middlefk_03_L,1.0,0.0,0.0,0.0
middlefk_04_L,1.0,0.0,0.0,0.0
ringinte_metacarpal_L,0.9996,-0.0,-0.0242,0.0161
ringfk_01_L,0.693,0.7208,-0.0108,0.0093
ringfk_02_L,0.7073,0.7067,0.0,-0.0134
ringfk_03_L,0.7843,0.6141,-0.0328,0.082
ringfk_04_L,1.0,0.0,0.0,0.0
thumbfk_01_R,0.826,0.1273,-0.5486,-0.0242
thumbfk_02_R,1.0,0.0,0.0,0.0
thumbfk_03_R,1.0,0.0,0.0,0.0
thumbfk_04_R,1.0,0.0,0.0,0.0
pinkyinte_metacarpal_R,0.9996,0.0,0.0,-0.0289
pinkyfk_01_R,0.677,0.7337,0.057,-0.0084
pinkyfk_02_R,0.6772,0.7358,-0.0002,0.0003
pinkyfk_03_R,0.787,0.6128,-0.0551,-0.045
pinkyfk_04_R,1.0,0.0,0.0,0.0
indexinte_metacarpal_R,0.9929,0.0,-0.0839,0.0839
indexfk_01_R,0.6685,0.7437,-0.0001,0.0001
indexfk_02_R,0.7073,0.7068,0.0,0.0123
indexfk_03_R,0.805,0.5915,-0.0251,-0.037
indexfk_04_R,1.0,0.0,0.0,0.0
middleinte_metacarpal_R,0.9999,0.0,-0.0084,0.0084
middlefk_01_R,0.6661,0.7459,0.001,0.0013
middlefk_02_R,0.7459,0.6658,0.0183,-0.0082
middlefk_03_R,1.0,0.0,0.0,0.0
middlefk_04_R,1.0,0.0,0.0,0.0
ringinte_metacarpal_R,0.9996,0.0,0.0242,-0.0161
ringfk_01_R,0.6923,0.7215,0.0103,-0.0095
ringfk_02_R,0.7073,0.7067,-0.0,0.0134
ringfk_03_R,0.7843,0.6141,0.0328,-0.082
ringfk_04_R,1.0,0.0,0.0,0.0
collar_R,0.9956,-0.0189,0.0901,-0.0141
collar_L,0.9995,0.0042,-0.0073,0.0314
neckfk,0.9997,0.0229,-0.0045,0.0013
headfk,0.9991,0.0425,-0.0068,0.0052
chest_5,1.0,0.0,0.0,0.0
chest_4,1.0,0.001,-0.0,-0.0007
chest_3,0.9998,-0.018,-0.0032,-0.0087
chest_2,1.0,0.0013,-0.0002,-0.0012
chest_1,1.0,0.0029,-0.0004,-0.0034
hip,1.0,-0.0026,-0.0093,-0.0004
